Key	English	French
BACK	BACK	RETOUR
TUTORIAL	TUTORIAL	TUTORIELS
Share with friends	Share with friends	Partage avec tes amis
TITLE	TITLE	TITRE
PREVIOUS	PREVIOUS	PRÉCÉDENT
NEXT	NEXT	SUIVANT
Your gas pedal is stuck!	Your gas pedal is stuck!	Ta pédale d'accélération est bloquée!
Try to get as far as you can before crashing!	Try to get as far as you can before crashing!	Va le plus loin possible avant de t'écraser!
Press left and right to tilt your car.	Press left and right to tilt your car.	Appuie à gauche et à droite pour incliner la voiture.
Take it easy! Don't hold for too long.	Take it easy! Don't hold for too long.	Relaxe! Ne pèse pas trop longtemps!
Do stunts to get a nitro boost.	Do stunts to get a nitro boost.	Fais des acrobaties pour accumuler la nitro.
Land BOTH WHEELS at the SAME TIME for EXTRA BOOST!	Land BOTH WHEELS at the SAME TIME for EXTRA BOOST!	Atterri les DEUX ROUES en MÊME TEMPS pour PLUS de NITRO!
Press left and right at the same time to slam.	Press left and right at the same time to slam.	Appuie les deux côtés pour un atterissage plaqué. 
PERFECT SLAMS are the key to achieving OVERDRIVE.	PERFECT SLAMS are the key to achieving OVERDRIVE.	C'est la clé pour atteindre la SUPER NITRO.
Best 2K	Best 2K	2K Record
Best 5K	Best 5K	5K Record
Best 10K	Best 10K	10K Record
2K TIME	2K TIME	Temps 2K
5K TIME	5K TIME	Temps 5K
10K TIME	10K TIME	Temps 10K
UPGRADE	UPGRADE	AMÉLIORER
Almost reliable	Almost reliable.	Presque fiable
Bouncy and dirty	Bouncy and dirty.	Sale et rebondissante
Power and class	Power and class.	Style et puissance
Shooting star	Shooting star.	Étoile filante
Great starter	Great starter	Tu sais que tu la veux!
Made for this	Made for this.	Faite pour ça
You talkin' to me?	You talkin' to me?	C'est à moi que tu parles?
One heavy bad boy	One heavy bad boy.	Un mauvais garçon en puissance
Tesla would be proud	Tesla would be proud	Tesla en serait fier
Great power	Great power.	Quelle puissance...
Incoming!	Incoming!	Chaud devant!
Quicker than the eye	Quicker than the eye	Plus rapide que l'éclair
Gliding through the sky	Gliding through the sky.	File dans le ciel
Whatcha gonna do	Whatcha gonna do.	Y'a un problème ici?
Master of speed	Master of speed.	Maître de la vitesse
Majestic paint job	Majestic paint job	Couleurs majestueuses
Pure boost... and not much else	Pure boost... and not much else	Nitro pure... et rien d'autre
Medical Emergency!	Medical Emergency!	Urgence médicale!
Only you can prevent forest fires	Only you can prevent forest fires	Vous seuls pouvez sauver nos forêts
Unstoppable Monster	Unstoppable Monster	Monstre inarrêtable
Do you even lift?	Do you even lift?	Vas-tu au gym?
Flaming Hot	Flaming Hot	Flammes de l'enfer
Roaring powerhouse	Roaring powerhouse	Caisse Rugissante
Monocle not included	Monocle not included	Monocle non inclus
Can make you see red	Can make you see red	Peut vous faire voir rouge
The King has left the garage	The King has left the garage	Le roi a quitté le garage
Noise, Metal, Blood and Fire	Noise, Metal, Blood and Fire	Bruit, métal, sang et feu
Two lanes wide	Two lanes wide	Deux voies de large
Slick as a shadow in the night	Slick as a shadow in the night	Comme une ombre dans la nuit
The car of the future	The car of the future	La voiture du futur
Car. Spy Car.	Car. Spy Car.	Espion. Voiture d'espion
A monster on wheels!	A monster on wheels!	Un monstre sur roues!
Van full of love	Van full of love	Une camionnette d'amour
For haulin' big things	For haulin' big things	Pour gros chargements
Be wary of the sting	Be wary of the sting	Attention à la piqûre!
A lonely car in a dangerous world	A lonely car in a dangerous world	Une voiture solitaire dans un monde hostile
Whomever shall we ring?	Whomever shall we ring?	Qui devrions nous appeler?
For the fastest pro racers	For the fastest pro racers	Pour les pros les plus rapides seulement
HANG ON!	HANG ON!	Tenez-vous bien!
Meal on wheels	Meal on wheels	Repas sur roulettes
No hop-ons allowed!	No hop-ons allowed!	Passagers clandestins interdits!
Do it. Do it.	Do it. Do it.	Fais-le. Fais-le.
3030 is the new 2000	3030 is the new 2000	L'an 3030 est le nouveau 2000
America's favorite	America's favorite	Le favori des Américains
Screeching fireball	Screeching fireball	Crissements de pneus enflammés
Drifting in Tokyo	Drifting in Tokyo	Dérapages à Tokyo
Riding the information superhighway	Riding the information superhighway	Dans la superautoroute de l'information
Not afraid to get dirty	Not afraid to get dirty	N'a pas peur de se salir
You won't see it coming	You won't see it coming	Vous ne la verrez pas venir
Powerful like a gorilla	Powerful like a gorilla	Puissant comme un gorille
Getting from point A to point B	Getting from point A to point B	Aller du point A au point B
Wild adventures ahead	Wild adventures ahead	De folles aventures vous attendent
Nighttime roamer	Nighttime roamer	Vagabond de la nuit
Highway party!	Highway party!	Une fête sur l'autoroute!
Nothing but engine	Nothing but engine	Rien qu'un moteur
The car you deserve, and the one you need too	The car you deserve, and the one you need too	La voiture que vous méritez, et dont vous avez besoin.
For tourists and enthusiasts	For tourists and enthusiasts	Pour touristes de tous genres
Cowabunga!	Cowabunga!	Cowabunga!
Hard at work	Hard at work	Dur au travail
Take your prom date in style	Take your prom date in style	Va au bal avec style
Veteran racer	Veteran racer	Un courseur de renom
Off the rails!	Off the rails!	Complètement déraillé!
The Tow King	The Tow King	Le roi de la remorque!
Exploring planets	Exploring planets	Tant de planètes à explorer
General America	General America	Général Amérique
This is the speeder you are looking for	This is the speeder you are looking for	Ceci est le bolide que vous cherchez...
101 puppies to rescue	101 puppies to rescue	101 chiots à retrouver
Braaiiiiiins!!!!	Braaiiiiiins!!!!	Cerveaaaauuuu!
Bouncy old-timer	Bouncy old-timer	Une vieille bondissante
Genuine italian craftsmanship	Genuine italian craftsmanship	Authentique art italien
Pure Gold	Pure gold	Or pur
Precognitive speeding ticket	Precognitive speeding ticket	Excès de vitesse pré-cognitif
Life finds a way	Life finds a way	La vie trouve la voie
Mach has nothing on this one.	Mach has nothing on this one.	Mach 2 tous les jours
Ready for takeoff!	Ready for takeoff!	Paré au décollage!
Almost a real police	Almost a real police	Presqu'un vrai policier!
Serious business	Serious business	Que du sérieux
High speed in the driveway	High speed in the driveway	Haute vitesse dans le stationnement
Rules the neighbourhood	Rules the neighbourhood	Règne sur le voisinage
Pedal to the plastic	Pedal to the plastic	Pédale au plastique
Everyday I'm shoveling	Everyday I'm shoveling	Tous les jours je rammasse
Dig, Dug, Dug	Dig, Dug, Dug	Creuse, creusons, creusez
Carved in pure awesome	Carved in pure awesome	Taillé dans la perfection
Medic!	Medic!	CHAUD DEVANT!
This car is forever	This car is forever	Une voiture pour la vie
Filled with goodies	Filled with goodies	Remplie de bonnes choses
French Engineering	French Engineering	Ingénierie française
Ethereal	Ethereal	Éthérale
Clever Girl	Clever Girl	Chasseur invétéré
Officially Certified Incredible	Officially Certified Incredible	Officiellement certifiée incroyable
A work of art	A work of art	Une oeuvre d'art
On the prowl	On the prowl	À l'affût des proies
For racing families	For racing families	Pour familles de course
Faster than it looks	Faster than it looks	Plus rapide qu'elle ne paraît
It's all skill	It's all skill	Tout est dans le poignet
Back from a demolition derby	Back from a demolition derby	En revevant d'un derby de démolition
As fast as it is green	As fast as it is green	Aussi rapide que vert
The fury of a thousand suns	The fury of a thousand suns	La rage de 1000 soleils
The Bomba, as fast as it can be	The Bomba, as fast as it can be	La Bomba, possiblement la plus rapide
Sinuous and muscular, from front to rear.	Sinuous and muscular, from front to rear.	Voluptueuse et musculaire
Something wicked this way come	Something wicked this way come	Plus rapide que son ombre
No known antidote except speed	No known antidote except speed	Aucun antidote connus excepté la vitesse
Go with the flow	Go with the flow	Être dans le vent est sa force
Comfort and Speed, what a great combo	Comfort and Speed, what a great combo	Vitesse et confort, quelle belle combinaison
There's a cool cat in town	There's a cool cat in town	Place au frimeur
Bad to the bone	Bad to the bone	Mauvaise jusqu’à l’os
Operation: road trip	Operation: road trip	Opération: road trip
Too good for you	Too good for you	Trop bien pour vous
Yes, it's an actual car	Yes, it's an actual car	Oui, c’est une voiture
Full of surprises	Full of surprises	Pleine de surprise
TRY IT!	TRY IT!	 ESSAYE!
My best score!	My best score!	Ma meilleure distance!
I've reached	I've reached	J'ai atteint
m in Extreme Road Trip 2 with	m in Extreme Road Trip 2 with	m dans Extreme Road Trip 2 avec
STARS!	STARS!	ÉTOILES!
Copyright 2012 Roofdog Games inc. All Rights Reserved.	Copyright 2012 Roofdog Games inc. All Rights Reserved.	© 2012 Jeux Roofdog inc. Tous droits réservés,
Extreme Road Trip 2 is Copyright 2012 Roofdog Games inc.	Extreme Road Trip 2 is Copyright 2012 Roofdog Games inc.	Extreme Road Trip 2 © 2012 Jeux Roofdog inc.
Extreme Road Trip 2 is a work of fiction.	Extreme Road Trip 2 is a work of fiction.	Extreme Road Trip 2 est une oeuvre de fiction.\n
Don't repeat anything you've seen in this game with a real car.	Don't repeat anything you've seen in this game with a real car.	N'essayez rien de ce que vous avez fait dans le jeu\nà bord d'une vraie voiture.
That would be dangerous, stupid and awesome to watch.	That would be dangerous, stupid and awesome to watch.	Ça serait dangereux, stupide, et impressionnant à voir.
So, if you do, please film it and put it up on Youtube.	So, if you do, please film it and put it up on Youtube.	Alors si vous le faites... filmez-le et mettez le sur Youtube.
That last paragraph was a joke.	That last paragraph was a joke.	C'était une blague.
Please ignore it if you're humorless or a lawyer.	Please ignore it if you're humorless or a lawyer.	\nIgnorez si vous n'avez pas le sens de l'humour\nou si vous êtes un avocat.
There's not much beyond here, you can go play the game.	There's not much beyond here, you can go play the game.	Il n'y a pas grand chose de plus ici...\nvous pouvez retourner au jeu.
Well, if you insist, I guess I can tell you a story...	Well, if you insist, I guess I can tell you a story...	Bon, si vous insistez, je peux vous raconter une histoire...
Wait... nevermind.	Wait... nevermind.	Oh... rien.
Surprising fact: cars have feelings too.	Surprising fact: cars have feelings too.	Fait surprenant, les voitures ont des sentiments elles aussi! 
Another surprising fact: nobody was expected to make it\nthis far in the credits.	Another surprising fact: nobody was expected to make it\nthis far in the credits.	Autre fait surprenant: personne n'était supposé\nse rendre jusqu'ici dans le générique.
One more surprising fact: my co-worker will be mad at me for\nhaving to localize this.	One more surprising fact: my co-worker will be mad at me for\nhaving to localize this.	Un fait encore plus surprenant, mon collègue va etre furieux\nd'avoir eu à traduire ceci. [NDLT: Sans blague!]
Still here?  OK, here's a challenge for you:	Still here?  OK, here's a challenge for you:	Encore ici? D'accord voici un défi:
DON'T PRESS THE RED BUTTON!	DON'T PRESS THE RED BUTTON!	N'APPUYEZ PAS SUR LE BOUTON ROUGE!
PRESS ME	PRESS ME	APPUYEZ ICI
You've pressed the red button 	You've pressed the red button 	Vous avez appuyé le bouton rouge 
 times.	 times.	 fois.
 time.	 time.	 fois.
CHALLENGE YOUR FRIENDS!	CHALLENGE YOUR FRIENDS!	DÉFIEZ VOS AMIS!
SELECT ALL	SELECT ALL	TOUS SÉLECT.
Log into Game Center to issue challenges.	Log into Game Center to issue challenges.	Connectez-vous à Game Center pour envoyer des défis.
You do not have any Game Center friends.	You do not have any Game Center friends.	Vous n'avez pas d'amis Game Center.
CLOSE	CLOSE	FERMER
CHALLENGE\nFRIENDS	CHALLENGE\nFRIENDS	DÉFIEZ\nVOS AMIS
SPECIAL THANKS	SPECIAL THANKS	MERCI SPÉCIAL
SHARE	SHARE	PARTAGE
One Minute Distance	One Minute Distance	Distance d'une minute
GHOSTS	GHOSTS	FANTÔMES
YOU	YOU	TOI
Log into Game Center to see your achievements, leaderboards and challenges.	Log into Game Center to see your achievements, leaderboards and challenges.	Connectez-vous à Game Center pour voir vos trophées, classements et défis.
Challenge has been sent to your friends!	Challenge has been sent to your friends!	Vous avez envoyé un défi à vos amis!
Thanks for sharing!	Thanks for sharing!	Merci d'avoir partagé!
FEEDBACK	FEEDBACK	COMMENTAIRES
SUPPORT	SUPPORT	SUPPORT
FREE @!	FREE @!	@ GRATUIT!
Extreme Road Trip 2 Feedback	Extreme Road Trip 2 Feedback	Commentaires Extreme Road Trip 2
Please leave your comments here:	Please leave your comments here:	Veuillez laisser vos commentaires ici:
LEVEL	LEVEL	NIV.
VISIT	VISIT	VISITEZ
Thanks for your purchase!	Thanks for your purchase!	Merci pour votre achat!
Success!	Success!	Succès!
CHALLENGE	CHALLENGE	DÉFI
Send a challenge to all your Game Center friends?\n\nYou will see their cars while playing!	Send a challenge to all your Game Center friends?\n\nYou will see their cars while playing!	Désirez-vous envoyer un défi à tous vos amis Game Center?\n\nVous pourrez ainsi les voir en action lorsque vous jouez!
SEND	SEND	ENVOYER
INVITE FRIENDS	INVITE FRIENDS	INVITATION
Get 	Get 	Recevez 
@ for each Facebook friends invited.\n\nYou can only do this once!	@ for each Facebook friends invited.\n\nYou can only do this once!	@ pour chaque amis invités.\n\nVous ne pourrez envoyer des invitations qu'une seule fois.
INVITE	INVITE	INVITER
